"Year","Field","Value","Unit"
"1976","distillate fuel oil consumed by the transportation sector United States","2288198","billion btu"
"1977","distillate fuel oil consumed by the transportation sector United States","2488717","billion btu"
"1978","distillate fuel oil consumed by the transportation sector United States","2679341","billion btu"
"1979","distillate fuel oil consumed by the transportation sector United States","2905157","billion btu"
"1980","distillate fuel oil consumed by the transportation sector United States","2794834","billion btu"
"1981","distillate fuel oil consumed by the transportation sector United States","2901346","billion btu"
"1982","distillate fuel oil consumed by the transportation sector United States","2789510","billion btu"
"1983","distillate fuel oil consumed by the transportation sector United States","2905391","billion btu"
"1984","distillate fuel oil consumed by the transportation sector United States","2947836","billion btu"
"1985","distillate fuel oil consumed by the transportation sector United States","3170074","billion btu"
"1986","distillate fuel oil consumed by the transportation sector United States","3217908","billion btu"
"1987","distillate fuel oil consumed by the transportation sector United States","3334545","billion btu"
"1988","distillate fuel oil consumed by the transportation sector United States","3626119","billion btu"
"1989","distillate fuel oil consumed by the transportation sector United States","3686504","billion btu"
"1990","distillate fuel oil consumed by the transportation sector United States","3661134","billion btu"
"1991","distillate fuel oil consumed by the transportation sector United States","3600618","billion btu"
"1992","distillate fuel oil consumed by the transportation sector United States","3683913","billion btu"
"1993","distillate fuel oil consumed by the transportation sector United States","3795822","billion btu"
"1994","distillate fuel oil consumed by the transportation sector United States","4028540","billion btu"
"1995","distillate fuel oil consumed by the transportation sector United States","4191382","billion btu"
"1996","distillate fuel oil consumed by the transportation sector United States","4465494","billion btu"
"1997","distillate fuel oil consumed by the transportation sector United States","4668258","billion btu"
"1998","distillate fuel oil consumed by the transportation sector United States","4806575","billion btu"
"1999","distillate fuel oil consumed by the transportation sector United States","4995878","billion btu"
"2000","distillate fuel oil consumed by the transportation sector United States","5159213","billion btu"
"2001","distillate fuel oil consumed by the transportation sector United States","5286255","billion btu"
"2002","distillate fuel oil consumed by the transportation sector United States","5386829","billion btu"
"2004","distillate fuel oil consumed by the transportation sector United States","5925059","billion btu"
"2005","distillate fuel oil consumed by the transportation sector United States","6068261","billion btu"
"2006","distillate fuel oil consumed by the transportation sector United States","6390016","billion btu"
"2007","distillate fuel oil consumed by the transportation sector United States","6411418","billion btu"
"2018","distillate fuel oil consumed by the transportation sector Tennessee","163077","billion btu"
"2003","distillate fuel oil consumed by the transportation sector Tennessee","164130","billion btu"
"2008","distillate fuel oil consumed by the transportation sector Tennessee","154917","billion btu"
"2003","distillate fuel oil consumed by the transportation sector United States","5583956","billion btu"
"2008","distillate fuel oil consumed by the transportation sector United States","5792125","billion btu"
"2014","distillate fuel oil consumed by the transportation sector United States","6158652","billion btu"
"2014","distillate fuel oil consumed by the transportation sector Tennessee","151730","billion btu"
"2016","distillate fuel oil consumed by the transportation sector United States","6202233","billion btu"
"2016","distillate fuel oil consumed by the transportation sector Tennessee","148185","billion btu"
"2017","distillate fuel oil consumed by the transportation sector United States","6252857","billion btu"
"2017","distillate fuel oil consumed by the transportation sector Tennessee","150331","billion btu"
"2015","distillate fuel oil consumed by the transportation sector Tennessee","153642","billion btu"
"2015","distillate fuel oil consumed by the transportation sector United States","6255035","billion btu"
"2012","distillate fuel oil consumed by the transportation sector Tennessee","142981","billion btu"
"2009","distillate fuel oil consumed by the transportation sector Tennessee","137285","billion btu"
"2010","distillate fuel oil consumed by the transportation sector Tennessee","147356","billion btu"
"2011","distillate fuel oil consumed by the transportation sector United States","5999681","billion btu"
"2010","distillate fuel oil consumed by the transportation sector United States","5826023","billion btu"
"2011","distillate fuel oil consumed by the transportation sector Tennessee","152131","billion btu"
"2012","distillate fuel oil consumed by the transportation sector United States","5738306","billion btu"
"2009","distillate fuel oil consumed by the transportation sector United States","5537791","billion btu"
"2019","distillate fuel oil consumed by the transportation sector United States","6572260","billion btu"
"2019","distillate fuel oil consumed by the transportation sector Tennessee","166534","billion btu"
"2020","distillate fuel oil consumed by the transportation sector Tennessee","153312","billion btu"
"2020","distillate fuel oil consumed by the transportation sector United States","6182862","billion btu"
"2017","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1155526","billion btu"
"2017","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","26540","billion btu"
"1960","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1961","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1962","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1963","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1964","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1965","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1966","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1967","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1968","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1969","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1970","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1971","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1972","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1973","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1974","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1975","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1976","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1977","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1978","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1979","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1980","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1981","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1982","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"1999","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"2000","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"2001","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"2002","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"2003","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"2004","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","0","billion btu"
"2013","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","26651","billion btu"
"2013","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1071703","billion btu"
"1976","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1977","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1978","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1979","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1980","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1960","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1961","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1962","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1963","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1964","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1965","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1966","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1967","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1968","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1969","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1970","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1971","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1972","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1973","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1974","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1975","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","0","billion btu"
"1983","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","966","billion btu"
"1984","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","2016","billion btu"
"1985","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","2339","billion btu"
"1986","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","2923","billion btu"
"1987","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","4353","billion btu"
"1988","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","4802","billion btu"
"1989","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","3673","billion btu"
"1990","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","1984","billion btu"
"1991","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","1451","billion btu"
"1992","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","1762","billion btu"
"1993","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","2026","billion btu"
"1994","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","2879","billion btu"
"1995","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","1225","billion btu"
"1996","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","23","billion btu"
"1997","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","24","billion btu"
"1998","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","28","billion btu"
"2005","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","11673","billion btu"
"2006","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","12298","billion btu"
"2007","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","15630","billion btu"
"2008","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","21413","billion btu"
"2009","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","25842","billion btu"
"1981","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","6559","billion btu"
"1982","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","17999","billion btu"
"1983","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","33561","billion btu"
"1984","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","40953","billion btu"
"1985","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","49509","billion btu"
"1986","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","57178","billion btu"
"1987","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","65794","billion btu"
"1988","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","66825","billion btu"
"1989","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","67814","billion btu"
"1990","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","60254","billion btu"
"1991","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","69774","billion btu"
"1992","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","79277","billion btu"
"1993","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","93188","billion btu"
"1994","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","104446","billion btu"
"1995","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","112145","billion btu"
"1996","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","80484","billion btu"
"1997","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","101196","billion btu"
"1998","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","112221","billion btu"
"1999","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","117411","billion btu"
"2000","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","134597","billion btu"
"2001","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","140409","billion btu"
"2002","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","167052","billion btu"
"2003","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","227531","billion btu"
"2004","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","286229","billion btu"
"2005","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","327770","billion btu"
"2006","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","442403","billion btu"
"2007","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","557570","billion btu"
"2008","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","785807","billion btu"
"2014","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","26555","billion btu"
"2018","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1152372","billion btu"
"2018","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","25749","billion btu"
"2014","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1093418","billion btu"
"2016","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","25987","billion btu"
"2016","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1143028","billion btu"
"2010","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","23623","billion btu"
"2009","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","893957","billion btu"
"2010","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1041483","billion btu"
"2015","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1109733","billion btu"
"2015","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","24876","billion btu"
"2011","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","24396","billion btu"
"2012","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1044666","billion btu"
"2012","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","25611","billion btu"
"2011","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1045041","billion btu"
"2020","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","24887","billion btu"
"2020","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1004223","billion btu"
"2019","fuel ethanol, excluding denaturant, consumed by the transportation sector United States","1161542","billion btu"
"2019","fuel ethanol, excluding denaturant, consumed by the transportation sector Tennessee","26533","billion btu"
"2016","electricity consumed by (i.e., sold to) the transportation sector United States","25579","billion btu"
"2016","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2018","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2018","electricity consumed by (i.e., sold to) the transportation sector United States","26152","billion btu"
"2013","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"2013","electricity consumed by (i.e., sold to) the transportation sector United States","26017","billion btu"
"2014","electricity consumed by (i.e., sold to) the transportation sector Tennessee","4","billion btu"
"2014","electricity consumed by (i.e., sold to) the transportation sector United States","26469","billion btu"
"1965","electricity consumed by (i.e., sold to) the transportation sector United States","9974","billion btu"
"1969","electricity consumed by (i.e., sold to) the transportation sector United States","10420","billion btu"
"1990","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1988","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1985","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"2001","electricity consumed by (i.e., sold to) the transportation sector United States","18714","billion btu"
"1961","electricity consumed by (i.e., sold to) the transportation sector United States","10315","billion btu"
"1983","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1982","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1981","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1980","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1977","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1974","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1973","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1971","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1969","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1967","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1975","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1999","electricity consumed by (i.e., sold to) the transportation sector United States","17489","billion btu"
"1993","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1988","electricity consumed by (i.e., sold to) the transportation sector United States","15930","billion btu"
"1978","electricity consumed by (i.e., sold to) the transportation sector United States","10027","billion btu"
"1976","electricity consumed by (i.e., sold to) the transportation sector United States","10060","billion btu"
"1961","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1997","electricity consumed by (i.e., sold to) the transportation sector Tennessee","4","billion btu"
"2003","electricity consumed by (i.e., sold to) the transportation sector United States","23482","billion btu"
"1976","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1977","electricity consumed by (i.e., sold to) the transportation sector United States","10429","billion btu"
"1979","electricity consumed by (i.e., sold to) the transportation sector United States","10117","billion btu"
"1992","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1963","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1971","electricity consumed by (i.e., sold to) the transportation sector United States","10463","billion btu"
"1980","electricity consumed by (i.e., sold to) the transportation sector United States","11069","billion btu"
"2000","electricity consumed by (i.e., sold to) the transportation sector Tennessee","7","billion btu"
"1972","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1979","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1972","electricity consumed by (i.e., sold to) the transportation sector United States","10372","billion btu"
"1963","electricity consumed by (i.e., sold to) the transportation sector United States","9955","billion btu"
"1984","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1970","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2000","electricity consumed by (i.e., sold to) the transportation sector United States","18362","billion btu"
"2009","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"1989","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1985","electricity consumed by (i.e., sold to) the transportation sector United States","14148","billion btu"
"1964","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1970","electricity consumed by (i.e., sold to) the transportation sector United States","10627","billion btu"
"1960","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1968","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2007","electricity consumed by (i.e., sold to) the transportation sector United States","27885","billion btu"
"2008","electricity consumed by (i.e., sold to) the transportation sector Tennessee","7","billion btu"
"2007","electricity consumed by (i.e., sold to) the transportation sector Tennessee","5","billion btu"
"2006","electricity consumed by (i.e., sold to) the transportation sector Tennessee","5","billion btu"
"2003","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"2002","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"2001","electricity consumed by (i.e., sold to) the transportation sector Tennessee","7","billion btu"
"1999","electricity consumed by (i.e., sold to) the transportation sector Tennessee","7","billion btu"
"1998","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"1986","electricity consumed by (i.e., sold to) the transportation sector United States","15058","billion btu"
"1984","electricity consumed by (i.e., sold to) the transportation sector United States","14293","billion btu"
"1983","electricity consumed by (i.e., sold to) the transportation sector United States","12675","billion btu"
"1982","electricity consumed by (i.e., sold to) the transportation sector United States","11002","billion btu"
"1981","electricity consumed by (i.e., sold to) the transportation sector United States","10871","billion btu"
"1974","electricity consumed by (i.e., sold to) the transportation sector United States","9721","billion btu"
"1968","electricity consumed by (i.e., sold to) the transportation sector United States","10215","billion btu"
"1966","electricity consumed by (i.e., sold to) the transportation sector United States","9642","billion btu"
"1964","electricity consumed by (i.e., sold to) the transportation sector United States","10011","billion btu"
"1960","electricity consumed by (i.e., sold to) the transportation sector United States","10460","billion btu"
"2005","electricity consumed by (i.e., sold to) the transportation sector United States","25612","billion btu"
"2004","electricity consumed by (i.e., sold to) the transportation sector Tennessee","4","billion btu"
"1990","electricity consumed by (i.e., sold to) the transportation sector United States","16212","billion btu"
"2017","electricity consumed by (i.e., sold to) the transportation sector United States","25667","billion btu"
"2017","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1995","electricity consumed by (i.e., sold to) the transportation sector Tennessee","4","billion btu"
"1975","electricity consumed by (i.e., sold to) the transportation sector United States","10150","billion btu"
"1973","electricity consumed by (i.e., sold to) the transportation sector United States","10533","billion btu"
"1996","electricity consumed by (i.e., sold to) the transportation sector Tennessee","4","billion btu"
"1966","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1978","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"1965","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2002","electricity consumed by (i.e., sold to) the transportation sector United States","18866","billion btu"
"1994","electricity consumed by (i.e., sold to) the transportation sector Tennessee","3","billion btu"
"1967","electricity consumed by (i.e., sold to) the transportation sector United States","10010","billion btu"
"1991","electricity consumed by (i.e., sold to) the transportation sector United States","16234","billion btu"
"1986","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"1991","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"2005","electricity consumed by (i.e., sold to) the transportation sector Tennessee","4","billion btu"
"1992","electricity consumed by (i.e., sold to) the transportation sector United States","16055","billion btu"
"1998","electricity consumed by (i.e., sold to) the transportation sector United States","16929","billion btu"
"2009","electricity consumed by (i.e., sold to) the transportation sector United States","26504","billion btu"
"2006","electricity consumed by (i.e., sold to) the transportation sector United States","25104","billion btu"
"2004","electricity consumed by (i.e., sold to) the transportation sector United States","24647","billion btu"
"1997","electricity consumed by (i.e., sold to) the transportation sector United States","16745","billion btu"
"1996","electricity consumed by (i.e., sold to) the transportation sector United States","16797","billion btu"
"1994","electricity consumed by (i.e., sold to) the transportation sector United States","17039","billion btu"
"1993","electricity consumed by (i.e., sold to) the transportation sector United States","16278","billion btu"
"1989","electricity consumed by (i.e., sold to) the transportation sector United States","16275","billion btu"
"1987","electricity consumed by (i.e., sold to) the transportation sector United States","15565","billion btu"
"1995","electricity consumed by (i.e., sold to) the transportation sector United States","16971","billion btu"
"2010","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"1962","electricity consumed by (i.e., sold to) the transportation sector United States","10166","billion btu"
"1987","electricity consumed by (i.e., sold to) the transportation sector Tennessee","1","billion btu"
"2010","electricity consumed by (i.e., sold to) the transportation sector United States","26315","billion btu"
"1962","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2008","electricity consumed by (i.e., sold to) the transportation sector United States","26113","billion btu"
"2019","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2015","electricity consumed by (i.e., sold to) the transportation sector United States","26056","billion btu"
"2015","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2012","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"2011","electricity consumed by (i.e., sold to) the transportation sector Tennessee","6","billion btu"
"2011","electricity consumed by (i.e., sold to) the transportation sector United States","26177","billion btu"
"2019","electricity consumed by (i.e., sold to) the transportation sector United States","26041","billion btu"
"2012","electricity consumed by (i.e., sold to) the transportation sector United States","24976","billion btu"
"2020","electricity consumed by (i.e., sold to) the transportation sector United States","22341","billion btu"
"2020","electricity consumed by (i.e., sold to) the transportation sector Tennessee","0","billion btu"
"2016","hydrocarbon gas liquids consumed by the transportation sector United States","8833","billion btu"
"1978","hydrocarbon gas liquids consumed by the transportation sector United States","53958","billion btu"
"2003","hydrocarbon gas liquids consumed by the transportation sector United States","17894","billion btu"
"1997","hydrocarbon gas liquids consumed by the transportation sector Tennessee","461","billion btu"
"1969","hydrocarbon gas liquids consumed by the transportation sector United States","45752","billion btu"
"2010","hydrocarbon gas liquids consumed by the transportation sector United States","4484","billion btu"
"1974","hydrocarbon gas liquids consumed by the transportation sector United States","45636","billion btu"
"1963","hydrocarbon gas liquids consumed by the transportation sector United States","24951","billion btu"
"1985","hydrocarbon gas liquids consumed by the transportation sector Tennessee","639","billion btu"
"1981","hydrocarbon gas liquids consumed by the transportation sector United States","33990","billion btu"
"1981","hydrocarbon gas liquids consumed by the transportation sector Tennessee","347","billion btu"
"2009","hydrocarbon gas liquids consumed by the transportation sector United States","28070","billion btu"
"2015","hydrocarbon gas liquids consumed by the transportation sector Tennessee","112","billion btu"
"2005","hydrocarbon gas liquids consumed by the transportation sector Tennessee","848","billion btu"
"1987","hydrocarbon gas liquids consumed by the transportation sector United States","21629","billion btu"
"1980","hydrocarbon gas liquids consumed by the transportation sector United States","17654","billion btu"
"1996","hydrocarbon gas liquids consumed by the transportation sector Tennessee","509","billion btu"
"1989","hydrocarbon gas liquids consumed by the transportation sector Tennessee","597","billion btu"
"1984","hydrocarbon gas liquids consumed by the transportation sector Tennessee","916","billion btu"
"1970","hydrocarbon gas liquids consumed by the transportation sector United States","44347","billion btu"
"1972","hydrocarbon gas liquids consumed by the transportation sector Tennessee","347","billion btu"
"1977","hydrocarbon gas liquids consumed by the transportation sector United States","50050","billion btu"
"1995","hydrocarbon gas liquids consumed by the transportation sector Tennessee","517","billion btu"
"2018","hydrocarbon gas liquids consumed by the transportation sector Tennessee","39","billion btu"
"2018","hydrocarbon gas liquids consumed by the transportation sector United States","8929","billion btu"
"1960","hydrocarbon gas liquids consumed by the transportation sector Tennessee","84","billion btu"
"2016","hydrocarbon gas liquids consumed by the transportation sector Tennessee","135","billion btu"
"1979","hydrocarbon gas liquids consumed by the transportation sector United States","21751","billion btu"
"2017","hydrocarbon gas liquids consumed by the transportation sector United States","9142","billion btu"
"2005","hydrocarbon gas liquids consumed by the transportation sector United States","28235","billion btu"
"2017","hydrocarbon gas liquids consumed by the transportation sector Tennessee","96","billion btu"
"2019","hydrocarbon gas liquids consumed by the transportation sector Tennessee","45","billion btu"
"1984","hydrocarbon gas liquids consumed by the transportation sector United States","42622","billion btu"
"2019","hydrocarbon gas liquids consumed by the transportation sector United States","8693","billion btu"
"1992","hydrocarbon gas liquids consumed by the transportation sector Tennessee","460","billion btu"
"1965","hydrocarbon gas liquids consumed by the transportation sector Tennessee","209","billion btu"
"2020","hydrocarbon gas liquids consumed by the transportation sector United States","4568","billion btu"
"2020","hydrocarbon gas liquids consumed by the transportation sector Tennessee","39","billion btu"
"1973","hydrocarbon gas liquids consumed by the transportation sector Tennessee","459","billion btu"
"1982","hydrocarbon gas liquids consumed by the transportation sector Tennessee","590","billion btu"
"1976","hydrocarbon gas liquids consumed by the transportation sector United States","47070","billion btu"
"1971","hydrocarbon gas liquids consumed by the transportation sector United States","51223","billion btu"
"1995","hydrocarbon gas liquids consumed by the transportation sector United States","17753","billion btu"
"2011","hydrocarbon gas liquids consumed by the transportation sector United States","4511","billion btu"
"2002","hydrocarbon gas liquids consumed by the transportation sector United States","14300","billion btu"
"2013","hydrocarbon gas liquids consumed by the transportation sector United States","5195","billion btu"
"1974","hydrocarbon gas liquids consumed by the transportation sector Tennessee","454","billion btu"
"1960","hydrocarbon gas liquids consumed by the transportation sector United States","18805","billion btu"
"2001","hydrocarbon gas liquids consumed by the transportation sector Tennessee","53","billion btu"
"2014","hydrocarbon gas liquids consumed by the transportation sector United States","5982","billion btu"
