"Year","Field","Value","Units"
"2007","total energy consumption per capita in the residential sector United States","71.3","million btu"
"2008","total energy consumption per capita in the residential sector United States","71.1","million btu"
"2009","total energy consumption per capita in the residential sector United States","68.6","million btu"
"2010","total energy consumption per capita in the residential sector United States","70.7","million btu"
"2011","total energy consumption per capita in the residential sector United States","68.5","million btu"
"2010","total energy consumption per capita in the residential sector Tennessee","95.1","million btu"
"2011","total energy consumption per capita in the residential sector Tennessee","87.9","million btu"
"1969","total energy consumption per capita in the residential sector Tennessee","74.1","million btu"
"1970","total energy consumption per capita in the residential sector Tennessee","76.5","million btu"
"1971","total energy consumption per capita in the residential sector Tennessee","75.3","million btu"
"1972","total energy consumption per capita in the residential sector Tennessee","76.8","million btu"
"1973","total energy consumption per capita in the residential sector Tennessee","77.3","million btu"
"1974","total energy consumption per capita in the residential sector Tennessee","73.9","million btu"
"1975","total energy consumption per capita in the residential sector Tennessee","82","million btu"
"1976","total energy consumption per capita in the residential sector Tennessee","83","million btu"
"1977","total energy consumption per capita in the residential sector Tennessee","89.3","million btu"
"1978","total energy consumption per capita in the residential sector Tennessee","86.8","million btu"
"1979","total energy consumption per capita in the residential sector Tennessee","83.3","million btu"
"1980","total energy consumption per capita in the residential sector Tennessee","82.8","million btu"
"1981","total energy consumption per capita in the residential sector Tennessee","77.1","million btu"
"1982","total energy consumption per capita in the residential sector Tennessee","78.9","million btu"
"1983","total energy consumption per capita in the residential sector Tennessee","77.6","million btu"
"1984","total energy consumption per capita in the residential sector Tennessee","81.9","million btu"
"1985","total energy consumption per capita in the residential sector Tennessee","79.1","million btu"
"1986","total energy consumption per capita in the residential sector Tennessee","77.6","million btu"
"1987","total energy consumption per capita in the residential sector Tennessee","79.8","million btu"
"1988","total energy consumption per capita in the residential sector Tennessee","82.1","million btu"
"1989","total energy consumption per capita in the residential sector Tennessee","85","million btu"
"1990","total energy consumption per capita in the residential sector Tennessee","81.5","million btu"
"1991","total energy consumption per capita in the residential sector Tennessee","83.4","million btu"
"1992","total energy consumption per capita in the residential sector Tennessee","82.3","million btu"
"1993","total energy consumption per capita in the residential sector Tennessee","82.6","million btu"
"1994","total energy consumption per capita in the residential sector Tennessee","85.8","million btu"
"1995","total energy consumption per capita in the residential sector Tennessee","80.6","million btu"
"1996","total energy consumption per capita in the residential sector Tennessee","91.8","million btu"
"1997","total energy consumption per capita in the residential sector Tennessee","82.9","million btu"
"1998","total energy consumption per capita in the residential sector Tennessee","86","million btu"
"1999","total energy consumption per capita in the residential sector Tennessee","86.3","million btu"
"2000","total energy consumption per capita in the residential sector Tennessee","89.1","million btu"
"2001","total energy consumption per capita in the residential sector Tennessee","87.5","million btu"
"2002","total energy consumption per capita in the residential sector Tennessee","89.1","million btu"
"2003","total energy consumption per capita in the residential sector Tennessee","87.1","million btu"
"2004","total energy consumption per capita in the residential sector Tennessee","87.7","million btu"
"2005","total energy consumption per capita in the residential sector Tennessee","91.9","million btu"
"2006","total energy consumption per capita in the residential sector Tennessee","89.1","million btu"
"2007","total energy consumption per capita in the residential sector Tennessee","91.5","million btu"
"2008","total energy consumption per capita in the residential sector Tennessee","90.1","million btu"
"2009","total energy consumption per capita in the residential sector Tennessee","84.7","million btu"
"1960","total energy consumption per capita in the residential sector Tennessee","51.8","million btu"
"1961","total energy consumption per capita in the residential sector Tennessee","50.5","million btu"
"1962","total energy consumption per capita in the residential sector Tennessee","53.5","million btu"
"1963","total energy consumption per capita in the residential sector Tennessee","56.2","million btu"
"1964","total energy consumption per capita in the residential sector Tennessee","55.5","million btu"
"1965","total energy consumption per capita in the residential sector Tennessee","57.2","million btu"
"1966","total energy consumption per capita in the residential sector Tennessee","61.8","million btu"
"1967","total energy consumption per capita in the residential sector Tennessee","62.1","million btu"
"1968","total energy consumption per capita in the residential sector Tennessee","68.8","million btu"
"2019","total energy consumption per capita in the residential sector United States","64.1","million btu"
"2019","total energy consumption per capita in the residential sector Tennessee","76.9","million btu"
"2018","total energy consumption per capita in the residential sector Tennessee","83.1","million btu"
"2018","total energy consumption per capita in the residential sector United States","65.7","million btu"
"2016","total energy consumption per capita in the residential sector United States","62.4","million btu"
"2020","total energy consumption per capita in the residential sector United States","61.9","million btu"
"2020","total energy consumption per capita in the residential sector Tennessee","72.2","million btu"
"2016","total energy consumption per capita in the residential sector Tennessee","79.7","million btu"
"2013","total energy consumption per capita United States","307.2","million btu"
"2013","total energy consumption per capita Tennessee","329","million btu"
"2014","total energy consumption per capita United States","308.7","million btu"
"2014","total energy consumption per capita Tennessee","336.9","million btu"
"1960","total energy consumption per capita United States","249.3","million btu"
"1961","total energy consumption per capita United States","248.7","million btu"
"1962","total energy consumption per capita United States","256.1","million btu"
"1963","total energy consumption per capita United States","262.1","million btu"
"1964","total energy consumption per capita United States","269.8","million btu"
"1965","total energy consumption per capita United States","277.7","million btu"
"1966","total energy consumption per capita United States","289.8","million btu"
"1998","total energy consumption per capita Tennessee","380.3","million btu"
"1999","total energy consumption per capita Tennessee","383.7","million btu"
"2000","total energy consumption per capita Tennessee","385.2","million btu"
"1967","total energy consumption per capita United States","296.5","million btu"
"1968","total energy consumption per capita United States","310.9","million btu"
"1969","total energy consumption per capita United States","323.6","million btu"
"1970","total energy consumption per capita United States","330.3","million btu"
"1971","total energy consumption per capita United States","333.1","million btu"
"1972","total energy consumption per capita United States","346.3","million btu"
"1973","total energy consumption per capita United States","357.3","million btu"
"1974","total energy consumption per capita United States","345.6","million btu"
"1975","total energy consumption per capita United States","333.2","million btu"
"1976","total energy consumption per capita United States","348.4","million btu"
"1977","total energy consumption per capita United States","353.9","million btu"
"1978","total energy consumption per capita United States","359.3","million btu"
"1979","total energy consumption per capita United States","359.2","million btu"
"1980","total energy consumption per capita United States","343.5","million btu"
"1981","total energy consumption per capita United States","331.6","million btu"
"1982","total energy consumption per capita United States","315.1","million btu"
"1983","total energy consumption per capita United States","311.7","million btu"
"1984","total energy consumption per capita United States","324.4","million btu"
"1985","total energy consumption per capita United States","321.1","million btu"
"1960","total energy consumption per capita Tennessee","269.3","million btu"
"1961","total energy consumption per capita Tennessee","270","million btu"
"1962","total energy consumption per capita Tennessee","276.5","million btu"
"1963","total energy consumption per capita Tennessee","285.7","million btu"
"1964","total energy consumption per capita Tennessee","288.6","million btu"
"1965","total energy consumption per capita Tennessee","299.5","million btu"
"1966","total energy consumption per capita Tennessee","322.2","million btu"
"1967","total energy consumption per capita Tennessee","320.3","million btu"
"1968","total energy consumption per capita Tennessee","331.3","million btu"
"1969","total energy consumption per capita Tennessee","344.1","million btu"
"1970","total energy consumption per capita Tennessee","346.9","million btu"
"1971","total energy consumption per capita Tennessee","341.6","million btu"
"1972","total energy consumption per capita Tennessee","360","million btu"
"1973","total energy consumption per capita Tennessee","389.2","million btu"
"1974","total energy consumption per capita Tennessee","374.6","million btu"
"1975","total energy consumption per capita Tennessee","377.5","million btu"
"1976","total energy consumption per capita Tennessee","395.7","million btu"
"1977","total energy consumption per capita Tennessee","402.3","million btu"
"1978","total energy consumption per capita Tennessee","393","million btu"
"1979","total energy consumption per capita Tennessee","394.8","million btu"
"1980","total energy consumption per capita Tennessee","375","million btu"
"1981","total energy consumption per capita Tennessee","365.8","million btu"
"1982","total energy consumption per capita Tennessee","346.9","million btu"
"1983","total energy consumption per capita Tennessee","356.3","million btu"
"1984","total energy consumption per capita Tennessee","370.7","million btu"
"1985","total energy consumption per capita Tennessee","363","million btu"
"1986","total energy consumption per capita Tennessee","358.8","million btu"
"1987","total energy consumption per capita Tennessee","358.1","million btu"
"1988","total energy consumption per capita Tennessee","368.5","million btu"
"1989","total energy consumption per capita Tennessee","376.9","million btu"
"1990","total energy consumption per capita Tennessee","368.8","million btu"
"1991","total energy consumption per capita Tennessee","363.2","million btu"
"1992","total energy consumption per capita Tennessee","366.2","million btu"
"1993","total energy consumption per capita Tennessee","366.5","million btu"
"1994","total energy consumption per capita Tennessee","369.6","million btu"
"1995","total energy consumption per capita Tennessee","366.4","million btu"
"1996","total energy consumption per capita Tennessee","380.2","million btu"
"1997","total energy consumption per capita Tennessee","370.3","million btu"
"1986","total energy consumption per capita United States","319","million btu"
"1987","total energy consumption per capita United States","325.9","million btu"
"1988","total energy consumption per capita United States","338.3","million btu"
"1989","total energy consumption per capita United States","343.3","million btu"
"1990","total energy consumption per capita United States","338.3","million btu"
"1991","total energy consumption per capita United States","333.5","million btu"
"1992","total energy consumption per capita United States","334.2","million btu"
"1993","total energy consumption per capita United States","335.9","million btu"
"1994","total energy consumption per capita United States","338.3","million btu"
"1995","total energy consumption per capita United States","341.7","million btu"
"1996","total energy consumption per capita United States","348.9","million btu"
"1997","total energy consumption per capita United States","347.2","million btu"
"1998","total energy consumption per capita United States","344.1","million btu"
"1999","total energy consumption per capita United States","345.9","million btu"
"2000","total energy consumption per capita United States","349.8","million btu"
"2001","total energy consumption per capita United States","337","million btu"
"2002","total energy consumption per capita United States","339.1","million btu"
"2003","total energy consumption per capita United States","337.2","million btu"
"2004","total energy consumption per capita United States","341.6","million btu"
"2005","total energy consumption per capita United States","338.8","million btu"
"2006","total energy consumption per capita United States","333.1","million btu"
"2007","total energy consumption per capita United States","335","million btu"
"2008","total energy consumption per capita United States","324.8","million btu"
"2009","total energy consumption per capita United States","306.3","million btu"
"2001","total energy consumption per capita Tennessee","384.2","million btu"
"2002","total energy consumption per capita Tennessee","385.6","million btu"
"2003","total energy consumption per capita Tennessee","385.2","million btu"
"2004","total energy consumption per capita Tennessee","386.2","million btu"
"2005","total energy consumption per capita Tennessee","390.8","million btu"
"2006","total energy consumption per capita Tennessee","383.1","million btu"
"2007","total energy consumption per capita Tennessee","379.7","million btu"
"2008","total energy consumption per capita Tennessee","365.6","million btu"
"2009","total energy consumption per capita Tennessee","331","million btu"
"2010","total energy consumption per capita Tennessee","354.3","million btu"
"2010","total energy consumption per capita United States","315.2","million btu"
"2011","total energy consumption per capita United States","310.9","million btu"
"2017","total energy consumption per capita Tennessee","319.5","million btu"
"2017","total energy consumption per capita United States","300.3","million btu"
"2015","total energy consumption per capita United States","303.6","million btu"
"2011","total energy consumption per capita Tennessee","343.3","million btu"
"2012","total energy consumption per capita United States","300.6","million btu"
"2012","total energy consumption per capita Tennessee","322.5","million btu"
"2015","total energy consumption per capita Tennessee","330.5","million btu"
"2019","total energy consumption per capita United States","305.7","million btu"
"2019","total energy consumption per capita Tennessee","318","million btu"
"2018","total energy consumption per capita Tennessee","329.5","million btu"
"2018","total energy consumption per capita United States","309.6","million btu"
"2020","total energy consumption per capita Tennessee","294.7","million btu"
"2020","total energy consumption per capita United States","280.1","million btu"
"2016","total energy consumption per capita United States","301.3","million btu"
"2016","total energy consumption per capita Tennessee","331.9","million btu"
